"sp.code","species","mass","Nocturnal","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO"
"ai","Ammospermophilus_interpres",111.365,0,20,0,0,0,0,10,20,0,20,30
"ch","Chaetodipus_hispidus",35.7,1,10,0,0,0,0,0,0,0,80,10
"ci","Chaetodipus_intermedius",15.45,1,10,0,0,0,0,0,0,0,80,10
"dm","Dipodomys_merriami",37.805,1,20,0,0,0,0,0,20,0,30,30
"do","Dipodomys_ordii",49.6,1,20,0,0,0,0,0,20,0,30,30
"ml","Microtus_longicaudus",32.5,1,0,0,0,0,0,0,0,0,20,80
"mm","Microtus_mexicanus",28.8,1,0,0,0,0,0,0,0,0,20,80
"mn","Microtus_montanus",35.1,1,0,0,0,0,0,0,0,0,20,80
"mp","Microtus_pennsylvanicus",38.55,1,0,0,0,0,0,0,0,0,20,80
"mu","Mus_musculus",20.5,1,20,0,0,0,0,0,0,0,20,60
"nc","Neotoma_cinerea",285.89,1,10,0,0,0,0,0,0,0,20,70
"ni","Neotoma_micropus",203.09,1,10,0,0,0,0,0,0,0,20,70
"nl","Neotoma_lepida",113.4,1,10,0,0,0,0,0,0,0,20,70
"nm","Neotoma_mexicana",203,1,10,0,0,0,0,0,0,0,20,70
"ns","Neotoma_stephensi",125.33,1,10,0,0,0,0,0,0,0,20,70
"oa","Onychomys_arenicola",24.96,1,90,0,0,0,0,0,0,0,0,10
"ol","Onychomys_leucogaster",32.5,1,90,0,0,0,0,0,0,0,0,10
"pb","Peromyscus_boylii",23.9,1,50,0,0,0,0,10,20,0,20,0
"pe","Peromyscus_eremicus",21.75,1,50,0,0,0,0,10,20,0,20,0
"pf","Perognathus_flavescens",9.105,1,10,0,0,0,0,0,0,0,80,10
"pl","Peromyscus_leucopus",22.3,1,50,0,0,0,0,10,20,0,20,0
"pm","Peromyscus_maniculatus",20.5,1,50,0,0,0,0,10,20,0,20,0
"pn","Peromyscus_nasutus",28,1,50,0,0,0,0,10,20,0,20,0
"pt","Peromyscus_truei",33,1,50,0,0,0,0,10,20,0,20,0
"pv","Perognathus_flavus",7.97,1,10,0,0,0,0,0,0,0,80,10
"rg","Reithrodontomys_megalotis",10.72,1,0,0,0,0,0,0,0,0,50,50
"ro","Reithrodontomys_montanus",9.95,1,0,0,0,0,0,0,0,0,50,50
"sh","Sigmodon_hispidus",159.6,1,50,0,0,0,0,0,0,0,0,50
"sp","Spermophilus_spilosoma",164.1,0,20,0,0,0,0,0,0,0,40,40
"sv","Spermophilus_variegatus",663.03,0,20,0,0,0,0,0,0,0,40,40
"td","Tamias_dorsalis",62.8,0,0,0,0,0,0,0,50,0,50,0
"tf","Tamias_rufus",57.49,0,0,0,0,0,0,0,50,0,50,0
"tm","Tamias_minimus",44.975,0,0,0,0,0,0,0,50,0,50,0
"tq","Tamias_quadrivittatus",57.81,0,0,0,0,0,0,0,50,0,50,0
